X,Y,Theta,Theta_delta,US1,US2,US3,,,US_X,US_Y
361,58,3302,-28,38,74,93,7.08,-4.368,5.008270731,69.6029939
181,25,3278,-24,38,74,93,6.899,-4.343,5.123170491,69.63568902
182,19,3250,-28,35,72,92,6.717,-4.324,4.701263414,67.64777784
182,14,3222,-28,34,68,90,6.535,-4.31,4.63124878,63.66334574
365,21,3199,-23,34,65,88,6.17,-4.289,4.675131806,60.69380826
366,10,3171,-28,34,65,88,5.804,-4.279,3.984237804,60.69552166
183,0,3143,-28,67,64,85,5.621,-4.279,3.829234145,59.69591364
183,-5,3111,-32,69,60,83,5.438,-4.284,3.518327663,55.68528262
365,-19,3087,-24,69,60,83,5.073,-4.303,3.633138236,55.67972083
365,-30,3059,-28,100,57,82,4.708,-4.333,3.112208536,52.64465746
182,-20,3027,-32,96,54,80,4.526,-4.353,2.798294897,49.61935436
181,-25,2999,-28,96,54,80,4.345,-4.378,2.83319756,49.60083338
180,-30,2971,-28,24,51,76,4.165,-4.408,2.737186585,46.57200931
359,-71,2944,-27,19,49,74,3.806,-4.479,2.483160739,44.50314058
178,-40,2920,-24,19,49,74,3.628,-4.519,2.452112893,44.46688868
177,-46,2884,-36,16,45,72,3.451,-4.565,1.831349897,40.40584315
351,-104,2852,-32,13,42,70,3.1,-4.669,1.756229364,37.30949783
174,-56,2828,-24,9,36,37,2.926,-4.725,2.062082942,31.2646325
181,-25,2999,171,9,33,36,2.745,-4.75,8.36053902,27.76869803
181,22,3262,263,9,33,36,2.564,-4.728,11.1432925,27.13727483
139,119,3848,586,91,32,57,2.425,-4.609,20.12205018,22.05210303
-97,-155,4151,303,91,32,57,2.522,-4.764,12.07031622,25.77826019
48,176,4446,295,28,65,54,2.474,-4.588,21.37209026,57.60413925
0,0,4744,298,28,57,128,2.474,-4.588,19.2097098,49.89976025
-64,171,5071,327,63,54,120,2.538,-4.417,19.88298616,46.72155155
-97,155,5274,203,63,54,120,2.635,-4.262,13.52186613,48.62917266
-259,259,5497,223,51,120,102,2.894,-4.003,29.43275948,113.0256044
-136,122,5553,56,51,120,102,3.03,-3.881,9.746488231,115.9308892
-279,236,5581,28,51,118,102,3.309,-3.645,6.612568294,114.308747
-141,116,5597,16,49,116,100,3.45,-3.529,5.305920812,112.4561523
-141,116,5593,-4,49,116,100,3.591,-3.413,3.127001237,112.586072
-140,117,5585,-8,48,113,101,3.731,-3.296,2.827009643,109.700384
-139,118,5577,-8,48,112,98,3.87,-3.178,2.974009557,108.818416
-274,243,5557,-20,48,112,98,4.144,-2.935,1.90414933,109.0426007
-134,124,5533,-24,46,110,112,4.278,-2.811,1.638253433,107.1573215
-132,126,5517,-16,44,107,93,4.41,-2.685,2.698073044,104.3013043
-130,129,5501,-16,43,136,89,4.54,-2.556,2.364092841,133.4265924
-253,264,5477,-24,43,136,89,4.793,-2.292,1.529313335,133.6688339
-618,675,5453,-24,40,102,93,5.411,-1.617,2.963235001,100.3536254
-241,276,5430,-23,38,102,91,5.652,-1.341,3.306206834,100.6320222
-117,140,5410,-20,38,102,91,5.769,-1.201,3.729135997,100.7786007
-228,286,5386,-24,37,131,91,5.997,-0.915,2.853301815,130.0472738
-221,291,5362,-24,35,102,123,6.218,-0.624,3.770235001,101.3466254
-215,296,5342,-20,35,102,123,6.433,-0.328,4.393135997,101.6516007
-105,150,5322,-20,32,124,123,6.538,-0.178,4.05816533,123.7972008
-100,153,5290,-32,30,124,88,6.638,-0.025,2.670677171,123.9115174
-95,156,5262,-28,30,124,88,6.733,0.131,3.261453657,124.0823952
-182,317,5234,-28,28,123,85,6.915,0.448,3.471449998,123.3997872
-175,321,5210,-24,25,113,82,7.09,0.769,4.378260345,113.7364576
-170,324,5195,-15,25,113,82,7.26,1.093,5.565063562,114.0802877
-160,329,5167,-28,23,111,80,7.42,1.422,4.312406096,112.3784908
-151,333,5139,-28,21,105,77,7.571,1.755,4.631384145,106.7138427
-142,337,5111,-28,18,21,76,7.713,2.092,7.125076829,23.08376854
-131,342,5079,-32,18,21,76,7.844,2.434,7.172114682,23.42324892
-124,344,5059,-20,16,20,73,7.968,2.778,7.568026666,22.77400013
-116,347,5035,-24,14,101,103,8.084,3.125,5.660232697,104.0959134
-51,175,4999,-36,14,101,103,8.135,3.3,4.499785325,104.2345591
-59,173,5043,44,11,11,99,8.194,3.473,8.677843844,14.46235372
-86,161,5203,160,8,8,96,8.28,3.634,9.554545653,11.53181827
-123,135,5453,250,8,8,96,8.403,3.769,10.38223167,11.52029937
0,0,5716,263,5,93,67,8.403,3.769,32.58100614,93.57113817
-175,51,5995,279,3,92,104,8.578,3.82,33.91428987,92.26248083
-183,2,6270,275,3,92,104,8.761,3.822,33.7433182,92.36511818
-177,-46,6541,271,4,103,84,8.938,3.776,36.51059263,103.0168794
0,0,6828,287,89,102,59,8.938,3.776,37.81177352,101.6039367
0,0,7107,279,93,109,57,8.938,3.776,38.95599561,108.5611132
-98,-154,7286,179,93,109,57,9.036,3.622,28.4429748,110.8804231
-77,-166,7418,132,103,57,57,9.113,3.456,16.61516933,59.96013662
-74,-167,7434,16,103,57,57,9.187,3.289,10.09896109,60.28170416
-74,-167,7434,0,75,56,56,9.261,3.122,9.261,59.122
-76,-166,7426,-8,75,54,54,9.337,2.956,8.905004608,56.95427201
-76,-166,7422,-4,75,54,54,9.413,2.79,9.197000576,56.789568
-156,-331,7414,-8,74,52,53,9.569,2.459,9.153004437,54.45733601
-158,-330,7406,-8,71,51,52,9.727,2.129,9.319004352,53.12736801
-81,-164,7394,-12,71,51,52,9.808,1.965,9.196014688,52.96132804
-167,-325,7378,-16,82,50,49,9.975,1.64,9.175034133,51.63360014
-173,-323,7362,-16,76,47,47,10.148,1.317,9.396032085,48.31098413
-179,-319,7342,-20,100,45,45,10.327,0.998,9.427059999,45.9890003
-93,-157,7318,-24,100,45,45,10.42,0.841,9.340103677,45.82804062
-97,-154,7290,-28,70,43,43,10.517,0.687,9.313157316,43.6701451
-204,-304,7262,-28,67,41,40,10.721,0.383,9.573149999,41.36692905
-105,-149,7238,-24,67,41,40,10.826,0.234,9.842094461,41.22219257
-108,-147,7218,-20,94,41,38,10.934,0.087,10.11405467,41.07880027
-222,-291,7202,-16,91,40,36,11.156,-0.204,10.51602731,39.79088011
-229,-286,7179,-23,91,40,36,11.385,-0.49,10.46508111,39.49942047
-118,-139,7151,-28,60,37,34,11.503,-0.629,10.46713537,36.35649695
-121,-137,7131,-20,91,110,32,11.624,-0.766,9.424146664,109.2120007
-125,-133,7099,-32,91,110,32,11.749,-0.899,8.229600716,109.0446848
-128,-130,7075,-24,89,35,30,11.877,-1.029,11.03708064,33.96092048
-131,-127,7051,-24,50,30,27,12.008,-1.156,11.28806912,28.83536041
-133,-125,7035,-16,50,30,27,12.141,-1.281,11.66102048,28.71516008
-273,-244,7011,-24,48,30,25,12.414,-1.525,11.69406912,28.46636041
