X,Y,Theta,Theta_delta,US1,US2,US3,,,US_X,US_Y
-176,48,6015,-24,64,33,35,16.666,-4.089,15.87407603,28.90149646
-349,109,5979,-36,87,29,35,17.015,-3.98,15.97122549,25.00121003
-345,123,5940,-39,61,28,26,17.36,-3.857,16.2682768,24.1217087
-170,67,5908,-32,61,28,26,17.53,-3.79,16.63415291,24.19566522
-325,168,5804,-104,81,64,20,17.855,-3.622,11.21099206,60.03219985
-319,180,5768,-36,51,80,18,18.174,-3.442,15.29462204,76.5061656
-311,192,5728,-40,50,59,17,18.485,-3.25,16.12562928,55.70280629
-303,205,5689,-39,50,59,17,18.788,-3.045,16.48758326,55.91013619
-583,443,5633,-56,48,98,18,19.371,-2.602,13.88586794,95.24437615
-136,122,5553,-80,41,75,47,19.507,-2.48,13.51339795,72.28012797
-264,253,5517,-36,41,75,47,19.771,-2.227,17.07158316,72.72440525
-251,266,5469,-48,37,62,47,20.022,-1.961,17.04714265,59.96758971
-236,279,5414,-55,34,57,44,20.258,-1.682,17.12458032,55.23180923
-222,290,5366,-48,34,57,44,20.48,-1.392,17.7450505,55.54234861
-207,302,5314,-52,32,53,42,20.687,-1.09,17.93224187,51.83836015
-96,155,5266,-48,30,50,40,20.783,-0.935,18.38392149,49.00741106
-89,159,5222,-44,30,50,40,20.872,-0.776,18.6727098,49.17560781
-162,328,5171,-51,27,50,39,21.034,-0.448,18.48510528,49.48698909
-143,337,5115,-56,26,24,37,21.177,-0.111,19.83370235,23.85137783
-126,344,5063,-52,26,24,37,21.303,0.233,20.05556236,24.20055931
-110,349,5019,-44,24,21,37,21.413,0.582,20.48929812,21.56167528
-94,354,4971,-48,21,20,37,21.507,0.936,20.5473686,20.91296442
-81,357,4936,-35,19,17,36,21.588,1.293,20.99312147,18.28258856
-33,180,4896,-40,19,17,36,21.621,1.473,20.94118132,18.45940181
-26,181,4856,-40,18,12,35,21.647,1.654,21.16712799,13.64440128
9,183,4661,-195,100,10,34,21.638,1.837,19.70033465,11.6474767
51,176,4430,-231,102,8,34,21.587,2.013,19.75539139,9.800503445
91,158,4187,-243,119,3,7,21.496,2.171,20.7741533,5.082861491
128,130,3936,-251,119,3,7,21.368,2.301,20.62288176,5.2069936
156,95,3689,-247,144,8,5,21.212,2.396,19.2560311,10.15320218
180,-30,2971,-718,120,141,153,21.032,2.366,-71.72904373,108.5563422
172,-61,2796,-175,120,141,144,20.86,2.305,-3.689247401,141.151442
164,-81,2681,-115,141,120,140,20.696,2.224,6.926397393,121.4313741
312,-190,2593,-88,141,120,140,20.384,2.034,9.837624164,121.5696598
148,-107,2513,-80,38,121,139,20.236,1.927,10.56632203,122.5400065
142,-115,2462,-51,35,120,137,20.094,1.812,13.97665267,121.6559738
135,-123,2402,-60,35,120,137,19.959,1.689,12.76331922,121.4730648
129,-129,2358,-44,34,141,136,19.83,1.56,13.62800163,142.423534
112,-144,2230,-128,33,138,135,19.718,1.416,2.102194998,138.2870467
102,-151,2167,-63,36,137,120,19.616,1.265,10.99070827,137.9932134
93,-157,2107,-60,34,134,112,19.523,1.108,11.48782313,134.8668724
76,-166,2003,-104,32,123,109,19.447,0.942,6.678047245,123.2774153
133,-341,1944,-59,30,48,110,19.314,0.601,16.48364275,48.51748023
43,-178,1808,-136,29,46,105,19.271,0.423,13.03426734,45.99824729
30,-180,1736,-72,27,43,106,19.241,0.243,16.14767425,43.13159214
17,-182,1665,-71,27,40,124,19.224,0.061,16.38638547,39.96022235
4,-183,1597,-68,27,40,124,19.22,-0.122,16.50209573,39.78555563
-6,-183,1533,-64,26,25,108,19.226,-0.305,17.62709204,24.64381747
-16,-182,1481,-52,48,22,113,19.242,-0.487,18.09851549,21.4832627
-48,-363,1438,-43,48,22,113,19.29,-0.85,18.3442915,21.12966413
-32,-180,1394,-44,48,19,110,19.322,-1.03,18.48626972,17.95161097
-49,-176,1298,-96,45,17,35,19.371,-1.206,17.7415056,15.71572414
-56,-174,1258,-40,44,14,31,19.427,-1.38,18.86714932,12.60880149
-138,-339,1183,-75,43,11,27,19.565,-1.719,18.74077322,9.250076999
-98,-154,1003,-180,41,10,26,19.663,-1.873,17.87270427,7.965436928
-130,-128,776,-227,41,10,26,19.793,-2.001,17.54244497,7.742459451
-157,-94,541,-235,39,6,8,19.95,-2.095,18.55294209,3.740086048
-174,-56,310,-231,39,39,7,20.124,-2.151,11.19490804,35.8130793
180,-29,-159,-469,41,37,68,19.944,-2.18,3.220203841,30.82476696
168,-71,-402,-243,53,81,36,19.776,-2.251,0.2861391281,76.36926026
148,-107,-629,-227,53,81,36,19.628,-2.358,1.39850427,76.56402155
-128,131,-796,-167,36,86,36,19.756,-2.227,5.460663942,82.57655751
-111,145,-916,-120,33,54,37,19.867,-2.082,13.40254081,51.52966634
-99,153,-995,-79,33,54,37,19.966,-1.929,15.70443597,51.90258062
-90,159,-1055,-60,33,51,36,20.056,-1.77,16.99783567,49.13822754
-81,164,-1111,-56,35,50,36,20.137,-1.606,17.33846324,48.31562049
-73,167,-1155,-44,35,34,37,20.21,-1.439,18.71448266,32.52809331
-129,343,-1211,-56,35,34,37,20.339,-1.096,18.435995,32.85070193
-54,174,-1266,-55,35,31,40,20.393,-0.922,18.68885947,30.03112432
-45,177,-1318,-52,121,29,45,20.438,-0.745,18.93067951,28.21580083
-37,179,-1362,-44,121,29,45,20.475,-0.566,19.19941168,28.40593253
-30,180,-1402,-40,107,26,44,20.505,-0.386,19.46527731,25.59320277
-24,181,-1438,-36,151,24,42,20.529,-0.205,19.66518661,23.77944968
-20,182,-1458,-20,151,24,42,20.549,-0.023,20.069032,23.97220016
-14,182,-1489,-31,150,22,41,20.563,0.159,19.88110923,22.14842985
-8,183,-1525,-36,147,20,41,20.571,0.342,19.85115551,20.3290414
0,366,-1569,-44,147,20,41,20.571,0.708,19.69128392,20.68864312
7,183,-1613,-44,148,18,41,20.564,0.891,19.77225553,18.87357881
15,182,-1653,-40,147,16,20,20.549,1.073,19.90917065,17.06020171
24,181,-1705,-52,147,16,20,20.525,1.254,19.6933749,17.23237287
62,361,-1740,-35,149,15,17,20.463,1.615,19.93810718,16.60581344
72,359,-1768,-28,144,16,18,20.391,1.974,19.94305854,17.96772841
84,356,-1804,-36,142,14,15,20.307,2.33,19.80310886,16.32092898
94,354,-1832,-28,142,14,15,20.213,2.684,19.82105122,16.67851236
59,173,-1904,-72,141,14,10,20.154,2.857,19.14687069,16.82072767
88,160,-2075,-171,142,99,8,20.066,3.017,3.219382941,100.5730941
118,140,-2270,-195,142,99,8,19.948,3.157,0.7651130387,100.2807193
141,116,-2454,-184,139,100,10,19.807,3.273,1.510649453,101.5849706
160,89,-2633,-179,139,142,10,19.647,3.362,-5.635480934,143.0931567
173,59,-2808,-175,139,142,10,19.474,3.421,-5.249355538,143.2521685
-180,-30,-2972,-164,116,139,14,19.654,3.391,-3.039950464,140.5259139
183,2,-3127,-155,115,136,142,19.471,3.393,-1.524693504,137.7625682
181,-25,-3282,-155,115,136,142,19.29,3.368,-1.705693504,137.7375682
177,-45,-3390,-108,136,136,137,19.113,3.323,4.453536824,138.5306186
173,-59,-3470,-80,54,136,136,18.94,3.264,8.07160162,138.8290321
168,-71,-3541,-71,52,116,134,18.772,3.193,10.54291787,118.9007448
320,-176,-3645,-104,50,116,134,18.452,3.017,6.409735613,118.3902372
156,-95,-3689,-44,49,139,131,18.296,2.922,12.18197324,141.7874697
151,-102,-3736,-47,49,139,131,18.145,2.82,11.61440497,141.6665028
147,-108,-3776,-40,34,135,130,17.998,2.712,12.59943988,137.6040144
143,-113,-3812,-36,33,142,128,17.855,2.599,12.74410412,144.5069939
140,-117,-3840,-28,33,142,128,17.715,2.482,13.73951951,144.4263396
135,-123,-3880,-40,32,179,108,17.58,2.359,10.42190918,181.2158191
129,-129,-3924,-44,30,166,104,17.451,2.23,10.14935653,168.0693379
250,-267,-3960,-36,30,166,104,17.201,1.963,11.22629073,167.8554436
239,-277,-3999,-39,29,175,101,16.962,1.686,10.13873001,176.5529294
229,-285,-4035,-36,28,174,101,16.733,1.401,10.47035294,175.2882602
219,-293,-4071,-36,27,171,96,16.514,1.108,10.35932961,171.997204
212,-298,-4095,-24,27,171,96,16.302,0.81,12.19839397,171.7607544
407,-609,-4123,-28,27,169,95,15.895,0.201,11.16361829,169.1347563
96,-155,-4155,-32,25,150,95,15.799,0.046,10.99981916,149.9692066
90,-159,-4195,-40,25,150,95,15.709,-0.113,9.710599872,149.767016
84,-162,-4234,-39,24,35,92,15.625,-0.275,14.260346,34.69838587
155,-331,-4274,-40,24,32,91,15.47,-0.606,14.19034131,31.36840341
70,-168,-4314,-40,24,32,91,15.4,-0.774,14.12034131,31.20040341
132,-341,-4342,-28,22,28,122,15.268,-1.115,14.48410244,26.87402472
62,-172,-4366,-24,27,25,123,15.206,-1.287,14.6060576,23.70580035
55,-174,-4406,-40,27,25,123,15.151,-1.461,14.15126665,23.51900267
99,-352,-4438,-32,27,22,105,15.052,-1.813,14.34812014,20.17573696
42,-178,-4477,-39,27,19,124,15.01,-1.991,14.26918783,16.99455233
70,-359,-4517,-40,27,19,124,14.94,-2.35,14.18020265,16.63480203
29,-180,-4549,-32,25,16,141,14.911,-2.53,14.39908738,13.4618087
22,-181,-4589,-40,23,14,133,14.889,-2.711,14.32914932,11.27780149
34,-364,-4617,-28,22,12,150,14.855,-3.075,14.5190439,8.920296307
46,-731,-4649,-32,22,12,150,14.809,-3.806,14.42506553,8.187856524
-41,-178,-4940,-291,16,7,8,14.85,-3.984,12.84162772,2.721702109
0,0,-5183,-243,16,7,8,14.85,-3.984,13.16569104,2.810343479
-119,-138,-5426,-243,13,7,5,14.969,-4.122,13.28469104,2.672343479
-148,-106,-5661,-235,11,15,4,15.117,-4.228,11.62435522,10.35971512
-169,-70,-5888,-227,11,15,4,15.286,-4.298,11.91016746,10.31718918
181,27,-6131,-243,12,12,8,15.105,-4.271,12.2176132,7.376445964
-182,16,-6374,-243,14,9,14,15.287,-4.255,13.1214599,4.480584473
-172,60,-6621,-247,14,9,14,15.459,-4.195,13.25853498,4.531852451
-158,91,-6808,-187,59,10,9,15.617,-4.104,13.75787963,5.721663919
-143,114,-6955,-147,58,77,8,15.76,-3.99,4.481721356,72.17955055
-120,137,-7135,-180,56,77,8,15.88,-3.853,2.094722846,71.90296434
-93,157,-7318,-183,56,77,8,15.973,-3.696,1.960517328,72.01826767
-67,170,-7477,-159,56,56,75,16.04,-3.526,7.173469609,51.76762204
-40,178,-7633,-156,133,54,75,16.08,-3.348,7.690126193,49.99625946
-10,182,-7796,-163,133,54,75,16.09,-3.166,7.326924977,50.1182239
20,182,-7963,-167,137,53,74,16.07,-2.984,7.260083592,49.27865754
50,176,-8135,-172,128,125,53,16.02,-2.808,-5.374147365,120.3475539
80,164,-8310,-175,128,125,53,15.94,-2.644,-5.823517199,120.4468174
119,138,-8565,-255,87,134,50,15.821,-2.506,-17.97988476,127.1608816
131,127,-8657,-92,87,134,50,15.69,-2.379,3.37938334,131.0543119
140,118,-8724,-67,85,133,50,15.55,-2.261,6.645665417,130.4405932
147,108,-8788,-64,85,123,124,15.403,-2.153,7.536372852,120.595182
309,196,-8860,-72,83,118,123,15.094,-1.957,6.605338642,115.7372761
161,86,-8931,-71,83,118,123,14.933,-1.871,6.562037142,115.8317059
171,63,-9071,-140,82,115,126,14.762,-1.808,-1.285458184,112.0668396
350,106,-9131,-60,82,115,126,14.412,-1.702,7.516139255,113.0910621
178,41,-9194,-63,27,113,123,14.234,-1.661,7.119708284,111.1148257
180,33,-9242,-48,135,111,114,14.054,-1.628,8.728045716,109.2441525
181,25,-9286,-44,135,111,114,13.873,-1.603,8.990575751,109.2895693
182,15,-9338,-52,137,76,111,13.691,-1.588,9.740780794,74.30927115
183,7,-9386,-48,17,75,108,13.508,-1.581,9.909382241,73.33261659
183,0,-9429,-43,17,75,108,13.325,-1.581,10.10099375,73.34967318
183,-9,-9477,-48,16,72,104,13.142,-1.59,9.687326951,70.32707192
182,-16,-9513,-36,16,69,103,12.96,-1.606,10.47653651,67.34929283
181,-23,-9553,-40,16,67,101,12.779,-1.629,10.09971461,65.31740715
361,-59,-9589,-36,16,67,101,12.418,-1.688,10.00652096,65.26858869
358,-74,-9629,-40,16,66,98,12.06,-1.762,9.420703944,64.18520704
178,-42,-9660,-31,13,64,96,11.882,-1.804,9.898317755,62.16525046
176,-49,-9700,-40,13,64,96,11.706,-1.853,9.146682612,62.09580683
353,-97,-9692,8,11,63,94,11.353,-1.95,11.85699462,61.04798401
181,-27,-9577,115,9,116,92,11.172,-1.977,24.48261585,113.256795
183,4,-9398,179,9,116,92,10.989,-1.973,31.64229428,112.1735787
179,38,-9210,188,9,56,91,10.81,-1.935,21.27609257,53.07827936
115,142,-8533,677,124,90,107,10.695,-1.793,67.07617318,68.35800363
-37,-179,-8059,474,29,107,55,10.732,-1.972,59.57203508,93.23120884
9,183,-7904,155,54,107,55,10.723,-1.789,27.24167062,103.9282338
-9,183,-7804,100,89,127,124,10.732,-1.606,23.41084391,124.759529
-22,181,-7728,76,90,126,74,10.754,-1.425,20.32078417,124.2112871
-28,181,-7696,32,90,126,74,10.782,-1.244,14.81331191,124.6914935
-30,180,-7685,11,105,125,73,10.812,-1.064,12.18697227,123.9284376
-30,180,-7689,-4,93,108,71,10.842,-0.884,10.41000115,107.115136
-26,181,-7708,-19,93,108,71,10.868,-0.703,8.81612346,107.2775066
-44,363,-7732,-24,102,121,101,10.912,-0.34,8.008278776,120.6251537
-11,182,-7792,-60,93,48,70,10.923,-0.158,8.044727689,47.75562592
0,366,-7852,-60,88,43,43,10.923,0.208,8.344547721,43.13062322
6,183,-7888,-36,88,43,43,10.917,0.391,9.369334346,43.36313901
24,365,-7920,-32,88,40,39,10.893,0.756,9.613218442,40.73552175
35,364,-7951,-31,87,37,36,10.858,1.12,9.711183702,38.10222292
75,544,-7991,-40,87,35,33,10.783,1.664,9.383373303,36.63600373
61,361,-8023,-32,87,35,33,10.722,2.025,9.602191137,37.00708153
74,358,-8059,-36,84,32,30,10.648,2.383,9.496248816,34.36226624
43,177,-8095,-36,82,30,27,10.605,2.56,9.525233265,32.5405621
51,175,-8139,-44,82,30,27,10.554,2.735,9.234425879,32.70596468
58,173,-8179,-40,80,30,25,10.496,2.908,9.296319974,32.8840032
64,171,-8214,-35,79,101,22,10.432,3.079,6.897721685,104.0171438
70,169,-8246,-32,79,101,22,10.362,3.248,7.130551566,104.1962924
151,333,-8278,-32,77,98,20,10.211,3.581,7.075535183,101.5308283
162,328,-8314,-36,75,96,17,10.049,3.909,6.593746448,99.84679872
87,161,-8350,-36,75,96,17,9.962,4.07,6.506746448,100.0077987
184,316,-8382,-32,74,96,16,9.778,4.386,6.706524261,100.3368522
197,308,-8422,-40,71,80,14,9.581,4.694,6.381853265,84.63000853
102,152,-8445,-23,69,115,13,9.479,4.846,6.834233195,119.8155838
214,297,-8477,-32,69,115,13,9.265,5.143,5.585628021,120.084125
117,140,-8553,-76,69,71,10,9.148,5.283,3.757193049,76.07805068
144,112,-8760,-207,74,68,9,9.004,5.395,-4.971691394,71.94332868
182,11,-9362,-602,65,64,105,8.822,5.406,-27.42068891,58.15509952
178,-39,-9641,-279,63,63,64,8.644,5.367,-8.705850672,65.93087274
160,-87,-9923,-282,63,63,64,8.484,5.28,-9.047463943,65.79155073
-131,127,-10194,-271,54,83,61,8.615,5.407,-13.60369115,85.3778057
90,-159,-10477,-283,73,58,87,8.525,5.248,-7.670778883,60.94087878
-14,-182,-11075,-598,87,75,52,8.539,5.066,-33.68530055,67.05074363
-31,-180,-11166,-91,85,99,51,8.57,4.886,-0.4265712258,103.4763733
-85,-356,-11230,-64,85,99,51,8.655,4.53,2.32332449,103.3273172
-198,-705,-11270,-40,84,145,70,8.853,3.825,3.054546543,148.7090155
-61,-172,-11338,-68,80,144,69,8.914,3.653,-0.8704553765,147.3202003
-73,-167,-11409,-71,77,126,45,8.987,3.486,0.04851423679,129.1685504
-79,-165,-11441,-32,77,126,45,9.066,3.321,5.034688093,129.2564935
-84,-162,-11473,-32,76,117,43,9.15,3.159,5.406638943,120.0991011
-90,-159,-11509,-36,76,86,42,9.24,3,6.144668693,88.94427802
-94,-157,-11537,-28,76,86,42,9.334,2.843,6.926314633,88.8092902
-96,-155,-11549,-12,75,83,41,9.43,2.688,8.434023904,85.68202407
-99,-153,-11569,-20,72,112,40,9.529,2.535,7.28914933,114.5126007
-202,-305,-11581,-12,72,112,40,9.731,2.23,8.387032256,114.2219361
-312,-452,-11600,-19,72,112,40,10.043,1.778,7.915128032,113.7577846
-321,-445,-11620,-20,72,108,39,10.364,1.333,8.204143997,109.3114007
-111,-145,-11648,-28,70,106,37,10.475,1.188,7.507387803,107.1464507
-230,-284,-11676,-28,70,106,37,10.705,0.904,7.737387803,106.8624507
-118,-139,-11700,-24,68,105,37,10.823,0.765,8.303241913,105.7347615
-245,-272,-11728,-28,101,101,36,11.068,0.493,8.240369511,101.4534106
-125,-133,-11748,-20,101,101,36,11.193,0.36,9.173134664,101.3398007
-128,-130,-11772,-24,98,98,35,11.321,0.23,8.969225785,98.20177735
-262,-256,-11792,-20,96,98,36,11.583,-0.026,9.623130664,97.95440065
-134,-124,-11816,-24,96,98,36,11.717,-0.15,9.365225785,97.82177735
-137,-120,-11847,-31,62,97,35,11.854,-0.27,8.847481598,96.68339523
-141,-116,-11879,-32,94,91,34,11.995,-0.386,9.083496956,90.56741198
-147,-109,-11927,-48,59,87,35,12.142,-0.495,7.967603399,86.40479524
-150,-105,-11955,-28,58,50,113,12.292,-0.6,10.89218293,49.38040128
-307,-199,-11991,-36,90,47,112,12.599,-0.799,10.90736545,46.17054729
-156,-94,-12023,-32,90,47,112,12.755,-0.893,11.25125667,46.08293805
-160,-89,-12059,-36,88,44,101,12.915,-0.982,11.33134212,42.98949108
-326,-166,-12094,-35,85,78,47,13.241,-1.148,10.51155734,76.80422988
-332,-154,-12130,-36,85,78,47,13.573,-1.302,10.76560649,76.64746146
-168,-71,-12162,-32,50,74,54,13.741,-1.373,11.37340412,72.58911523
-340,-134,-12190,-28,49,73,36,14.081,-1.507,12.03726707,71.46438587
-345,-123,-12222,-32,49,73,36,14.426,-1.63,12.09039866,71.33262719
-349,-111,-12258,-36,45,69,40,14.775,-1.741,12.29153651,67.21429283
-176,-49,-12294,-36,43,67,28,14.951,-1.79,12.53952096,65.16658869
-355,-87,-12325,-31,43,67,28,15.306,-1.877,13.22933265,65.09080908
-358,-74,-12361,-36,41,64,26,15.664,-1.951,13.36049763,62.00753248
-180,-32,-12389,-28,37,61,26,15.844,-1.983,14.13622317,58.99308956
-181,-26,-12421,-32,34,61,24,16.025,-2.009,14.07333312,58.95977067
-364,-39,-12457,-36,34,61,24,16.389,-2.048,14.19347431,58.91247627
-182,-14,-12489,-32,32,57,25,16.571,-2.062,14.74731128,54.90881849
-549,-22,-12525,-36,30,54,52,17.12,-2.084,15.17641988,51.88101178
-366,-3,-12556,-31,30,54,52,17.486,-2.087,15.81226811,51.88705508
-366,9,-12592,-36,29,53,51,17.852,-2.078,15.9444121,50.88765971
-182,9,-12620,-28,27,57,47,18.034,-2.069,16.43820854,54.90865746
-182,14,-12644,-24,27,57,47,18.216,-2.055,16.84813132,54.92858479
-363,43,-12684,-40,26,54,44,18.579,-2.012,16.41957595,51.94480576
-362,51,-12708,-24,24,48,41,18.941,-1.961,17.78911059,46.02517666
-360,66,-12748,-40,24,48,41,19.301,-1.895,17.38151196,46.06660512
-358,76,-12776,-28,21,44,39,19.659,-1.819,18.42716098,42.16375313
-357,82,-12792,-16,18,43,36,20.016,-1.737,19.32802935,41.25749612
-353,96,-12831,-39,16,40,35,20.369,-1.641,18.80939543,38.32858386
-350,107,-12863,-32,16,40,35,20.719,-1.534,19.43921844,38.44552175
-520,175,-12891,-28,14,38,32,21.239,-1.359,20.17513902,36.62610497
-342,129,-12927,-36,13,35,30,21.581,-1.23,20.32127214,33.74732245
-168,71,-12967,-40,13,35,30,21.749,-1.159,20.3493733,33.81300373
-339,138,-12955,12,11,33,28,22.088,-1.021,22.4839905,31.97662403
-177,46,-12823,132,9,32,27,22.265,-0.975,26.47674419,30.74662056
-181,-28,-12409,414,8,28,26,22.446,-1.003,33.70968915,24.63153348
-169,-68,-12182,227,9,27,27,22.615,-1.071,28.69149858,25.23634052
-150,-104,-11959,223,9,27,27,22.765,-1.175,28.73622088,25.15643599
123,135,-11736,223,29,25,41,22.642,-1.04,28.17090823,23.34095925
-93,-157,-11529,207,26,26,33,22.735,-1.197,28.07864671,24.2479492
58,173,-11322,207,26,26,33,22.677,-1.024,28.02064671,24.4209492
-38,-179,-11206,116,24,41,31,22.715,-1.203,27.46034105,39.52146118
-28,-181,-11150,56,24,40,30,22.743,-1.384,24.98182941,38.55329639
-27,-181,-11146,4,24,33,30,22.77,-1.565,22.90199965,31.434736
-27,-181,-11146,0,24,33,30,22.797,-1.746,22.797,31.254
-29,-180,-11158,-12,24,32,29,22.826,-1.926,22.44200922,30.07169603
-31,-180,-11170,-12,23,31,28,22.857,-2.106,22.48500893,28.89176803
-34,-179,-11186,-16,23,31,28,22.891,-2.285,22.39502116,28.71103208
-39,-178,-11214,-28,23,29,26,22.93,-2.463,22.1181061,26.52563274
-44,-177,-11242,-28,21,37,24,22.974,-2.64,21.93813537,34.34549695
-99,-352,-11270,-28,21,37,24,23.073,-2.992,22.03713537,33.99349695
-113,-348,-11310,-40,20,33,23,23.186,-3.34,21.86635197,29.63360352
-64,-171,-11353,-43,19,32,21,23.25,-3.511,21.874424,28.45942056
-71,-168,-11393,-40,19,32,21,23.321,-3.679,22.04134131,28.29540341
-155,-331,-11433,-40,18,29,20,23.476,-4.01,22.31630931,24.96680309
-84,-162,-11473,-40,16,27,18,23.56,-4.172,22.48028798,22.80640288
-177,-320,-11501,-28,15,25,17,23.737,-4.492,23.03709146,20.49820064
-93,-157,-11533,-32,15,25,17,23.83,-4.649,23.03013653,20.33820109
-98,-154,-11561,-28,14,22,16,23.928,-4.803,23.31208049,17.18837656
-103,-151,-11592,-31,12,20,15,24.031,-4.954,23.4110993,15.03639077
-214,-297,-11620,-28,12,20,15,24.245,-5.251,23.68507317,14.74116051
-103,-151,-11596,24,10,20,14,24.348,-5.402,24.82795392,14.59224028
-82,-163,-11465,131,8,10,12,24.43,-5.565,25.7362564,4.349317638
47,-176,-10732,733,5,15,14,24.383,-5.741,34.41953231,5.406556647
75,-167,-10573,159,6,12,99,24.308,-5.908,26.2079708,5.940633295
106,-148,-10374,199,13,10,26,24.202,-6.056,26.17889165,3.746647571
136,-122,-10154,220,13,10,26,24.066,-6.178,26.24829623,3.580974493
157,-93,-9959,195,10,26,25,23.909,-6.271,28.94692991,19.23623941
167,-73,-9840,119,9,26,26,23.742,-6.344,26.82870281,19.47212414
175,-51,-9708,132,9,26,26,23.567,-6.395,26.98904215,19.3788167
-181,27,-9573,135,9,24,135,23.748,-6.368,26.97816746,17.41363195
183,0,-9421,152,8,23,168,23.565,-6.368,27.04755361,16.36681516
181,27,-9274,147,8,23,168,23.384,-6.341,26.75283648,16.41094367
-174,-56,-9111,163,10,23,169,23.558,-6.397,27.29042084,16.2981324
-162,-84,-8947,164,12,28,41,23.72,-6.481,28.29144326,21.1432992
-145,-111,-8772,175,12,28,41,23.865,-6.592,28.74002785,20.98034309
131,127,-8653,119,22,167,39,23.734,-6.465,43.56012961,159.3539512
124,134,-8597,56,21,169,34,23.61,-6.331,33.06905426,162.4040772
119,138,-8565,32,21,169,34,23.491,-6.193,28.89807708,162.7204794
118,139,-8557,8,22,169,32,23.373,-6.054,24.72498558,162.940592
119,138,-8565,-8,22,170,32,23.254,-5.916,21.89401451,164.07856
244,272,-8585,-20,22,166,31,23.01,-5.644,19.69022133,160.3228011
249,268,-8601,-16,22,166,31,22.761,-5.376,20.10511332,160.6027525
383,394,-8625,-24,22,163,31,22.378,-4.982,18.46637554,157.9710583
261,256,-8649,-24,23,163,33,22.117,-4.726,18.20537554,158.2270583
271,245,-8688,-39,102,158,30,21.846,-4.481,15.68556195,153.3988562
276,240,-8708,-20,125,156,29,21.57,-4.241,18.450208,151.727801
141,116,-8732,-24,125,156,29,21.429,-4.125,17.68535941,151.8300742
287,227,-8756,-24,123,154,27,21.142,-3.898,17.44635481,150.0576501
293,220,-8780,-24,103,151,26,20.849,-3.678,17.22534789,147.2785141
299,210,-8812,-32,103,151,26,20.55,-3.468,15.71882462,147.4546946
305,202,-8840,-28,123,148,25,20.245,-3.266,16.10154146,144.6759878
157,94,-8884,-44,117,143,115,20.088,-3.172,13.79803002,139.6895983
317,182,-8904,-20,117,143,115,19.771,-2.99,16.91119066,139.981401
808,430,-8935,-31,116,140,146,18.963,-2.56,14.62369509,137.3727354
164,80,-8967,-32,111,138,142,18.799,-2.48,14.38375363,135.44935
333,152,-8995,-28,111,138,142,18.466,-2.328,14.60250488,135.6179075
168,70,-9027,-32,115,134,139,18.298,-2.258,14.01073178,131.6733979
341,133,-9051,-24,109,131,138,17.957,-2.125,14.81330182,128.8372738
344,125,-9075,-24,109,131,138,17.613,-2,14.46930182,128.9622738
347,115,-9103,-28,116,128,132,17.266,-1.885,13.68246829,126.0648273
351,104,-9135,-32,101,101,130,16.915,-1.781,13.68355157,99.16729241
177,47,-9163,-28,101,101,130,16.738,-1.734,13.91036951,99.22641059
356,83,-9194,-31,124,124,124,16.382,-1.651,12.53861565,122.2894228
179,36,-9222,-28,152,121,122,16.203,-1.615,12.81544268,119.3375711
360,64,-9246,-24,114,120,120,15.843,-1.551,12.96327647,118.4144417
362,56,-9270,-24,114,120,120,15.481,-1.495,12.60127647,118.4704417
545,64,-9306,-36,112,115,116,14.936,-1.431,10.79689418,113.494488
365,33,-9334,-28,43,113,112,14.571,-1.398,11.40741341,111.5577069
182,11,-9362,-28,43,113,112,14.389,-1.387,11.22541341,111.5687069
366,11,-9394,-32,37,111,111,14.023,-1.376,10.47160618,109.5671728
366,1,-9421,-27,35,113,108,13.657,-1.375,10.60637068,111.583814
183,-4,-9449,-28,35,113,108,13.474,-1.379,10.31041341,111.5767069
365,-22,-9485,-36,33,109,104,13.109,-1.401,9.185847529,107.5283756
364,-36,-9525,-40,71,105,102,12.745,-1.437,8.54611991,103.4790112
181,-25,-9565,-40,71,105,102,12.564,-1.462,8.36511991,103.4540112
360,-65,-9605,-40,30,102,100,12.204,-1.527,8.125087913,100.3914109
357,-78,-9641,-36,30,103,97,11.847,-1.605,8.139800876,101.3282632
177,-45,-9672,-31,30,103,97,11.67,-1.65,8.477511388,101.3005125
351,-102,-9708,-36,27,101,94,11.319,-1.752,7.683785325,99.18255907
694,-236,-9752,-44,24,98,91,10.625,-1.988,6.314391204,95.9171513
170,-66,-9796,-44,23,103,89,10.455,-2.054,5.924462184,100.8463121
167,-73,-9836,-40,23,103,89,10.288,-2.127,6.169098579,100.790611
320,-177,-9931,-95,20,104,85,9.968,-2.304,0.102854462,101.2270528
157,-94,-9963,-32,18,100,84,9.811,-2.398,6.611546105,97.55080437
153,-99,-9999,-36,15,99,52,9.658,-2.497,6.094769774,96.43885493
299,-211,-10039,-40,15,99,52,9.359,-2.708,5.400055916,96.21281056
146,-110,-10071,-32,13,99,47,9.213,-2.818,6.045540644,96.13131633
147,-108,-10059,12,11,14,44,9.066,-2.926,9.233995968,11.07299201
158,-91,-9947,112,11,14,44,8.908,-3.017,10.47272389,10.89528375
173,-59,-9752,195,8,117,43,8.735,-3.076,31.40568459,111.7065773
182,-21,-9541,211,6,115,43,8.553,-3.097,32.63835003,109.3525261
181,23,-9294,247,6,101,77,8.372,-3.074,33.06610742,94.86067751
171,65,-9059,235,6,101,77,8.201,-3.009,31.71814154,95.21494847
