X,Y,Theta,Delta_Theta,US1,US2,US3,X_Global,Y_Global,,,US_2_X,US_3_Y
-161,-86,6772,-8,69,72,100,-4.727,15.707,-4.743,15.525,-5.318993856,115.5218
-324,-169,6764,-8,67,70,99,-4.403,15.538,-4.419,15.356,-4.978994027,114.352832
-163,-82,6752,-12,65,67,92,-4.24,15.456,-4.256,15.274,-5.059980704,107.2673761
-165,-79,6732,-20,65,67,92,-4.075,15.377,-4.091,15.195,-5.430910668,107.1766006
-165,-77,6720,-12,63,65,81,-3.91,15.3,-3.926,15.118,-4.70598128,96.11216807
-166,-75,6708,-12,62,64,98,-3.744,15.225,-3.76,15.043,-4.527981568,113.0359441
-336,-144,6689,-19,61,60,99,-3.408,15.081,-3.424,14.899,-4.563931411,113.881131
-339,-139,6673,-16,61,60,99,-3.069,14.942,-3.085,14.76,-4.044959041,113.7473283
-171,-65,6649,-24,59,59,95,-2.898,14.877,-2.914,14.695,-4.329864068,109.6676413
-345,-122,6625,-24,75,56,93,-2.553,14.755,-2.569,14.573,-3.91287098,107.5462173
-346,-118,6613,-12,75,56,93,-2.207,14.637,-2.223,14.455,-2.894983872,107.4483041
-348,-113,6597,-16,75,173,91,-1.859,14.524,-1.875,14.342,-4.6428819,105.3303522
-175,-53,6577,-20,74,145,87,-1.684,14.471,-1.7,14.289,-4.599806671,101.2716006
-176,-51,6565,-12,74,145,87,-1.508,14.42,-1.524,14.238,-3.26395824,101.2317361
-177,-46,6541,-24,72,139,87,-1.331,14.374,-1.347,14.192,-4.682679753,101.1669452
-178,-42,6517,-24,70,164,85,-1.153,14.332,-1.169,14.15,-5.104622155,99.12552118
-358,-76,6493,-24,70,164,85,-0.795,14.256,-0.811,14.074,-4.746622155,99.04952118
-180,-34,6469,-24,69,43,83,-0.615,14.222,-0.631,14.04,-1.662900931,97.01609715
-180,-29,6445,-24,67,38,80,-0.435,14.193,-0.451,14.011,-1.362912451,93.98796111
-362,-53,6430,-15,67,35,79,-0.073,14.14,-0.089,13.958,-0.6139803127,92.94911267
-726,-95,6414,-16,67,35,79,0.653,14.045,0.637,13.863,0.07702389303,92.85288822
-364,-40,6394,-20,65,31,79,1.017,14.005,1.001,13.823,0.3810413325,92.80720053
-182,-15,6366,-28,65,27,78,1.199,13.99,1.183,13.808,0.4270987801,91.777426
-182,-10,6342,-24,65,27,78,1.381,13.98,1.365,13.798,0.7170622062,91.77553708
-366,-12,6318,-24,63,24,87,1.747,13.968,1.731,13.786,1.155055294,100.7609452
-366,-7,6302,-16,63,21,97,2.113,13.961,2.097,13.779,1.761014336,110.7665843
-183,0,6282,-20,63,21,97,2.296,13.961,2.28,13.779,1.860027999,110.7596006
-366,10,6254,-28,62,18,136,2.662,13.971,2.646,13.789,2.142065853,149.7356915
-183,9,6230,-24,59,15,137,2.845,13.98,2.829,13.798,2.469034559,150.7585459
-365,29,6202,-28,59,15,137,3.21,14.009,3.194,13.827,2.774054878,150.7732995
-364,36,6183,-19,123,13,135,3.574,14.045,3.558,13.863,3.311014861,148.8386332
-181,26,6139,-44,60,9,12,3.755,14.071,3.739,13.889,3.343127764,25.87738587
-174,55,5975,-164,60,9,12,3.929,14.126,3.913,13.944,2.443607524,25.78298537
-155,97,5720,-255,113,6,134,4.084,14.223,4.068,14.041,2.554527548,143.7078816
-122,136,5446,-274,54,6,3,4.206,14.359,4.19,14.177,2.566493743,17.06508879
-73,167,5127,-319,51,53,3,4.279,14.526,4.263,14.344,-12.35870991,17.19264853
-23,181,4840,-287,51,53,3,4.302,14.707,4.286,14.525,-10.71703918,17.40229226
0,0,4545,-295,52,51,106,4.302,14.707,4.286,14.525,-10.54173236,115.9460271
80,164,4258,-287,90,50,51,4.222,14.871,4.206,14.689,-9.94781055,63.60296836
-124,-134,3963,-295,90,50,51,4.346,14.737,4.33,14.555,-10.20699251,63.35190926
153,100,3720,-243,75,92,48,4.193,14.837,4.177,14.655,-17.9596321,61.24478386
166,76,3573,-147,74,88,50,4.027,14.913,4.011,14.731,-8.878461307,64.19174711
173,59,3473,-100,74,88,50,3.854,14.972,3.838,14.79,-4.947340665,64.54020826
176,47,3406,-67,74,75,91,3.678,15.019,3.662,14.837,-1.359241306,105.6328269
178,40,3366,-40,77,72,86,3.5,15.059,3.484,14.877,0.6047679386,100.8082092
179,35,3334,-32,77,72,86,3.321,15.094,3.305,14.912,1.001393196,100.8679718
180,31,3314,-20,121,70,85,3.141,15.125,3.125,14.943,1.725093331,99.92600057
181,28,3298,-16,119,68,84,2.96,15.153,2.944,14.971,1.856046421,98.96024823
363,50,3278,-20,119,67,84,2.597,15.203,2.581,15.021,1.241089332,99.00420056
364,42,3258,-20,119,67,84,2.233,15.245,2.217,15.063,0.8770893315,99.04620056
182,16,3230,-28,119,64,79,2.051,15.261,2.035,15.079,0.2432341455,94.04803402
182,11,3207,-23,115,62,77,1.869,15.272,1.853,15.09,0.4271257223,92.0696344
366,15,3183,-24,115,62,77,1.503,15.287,1.487,15.105,-0.000857156114,92.08282506
183,4,3167,-16,115,59,75,1.32,15.291,1.304,15.109,0.3600402768,90.0994002
183,3,3163,-4,112,56,73,1.137,15.294,1.121,15.112,0.8970005973,88.111416
366,2,3147,-16,112,56,73,0.771,15.296,0.755,15.114,-0.1409617712,88.1046562
183,0,3139,-8,110,53,70,0.588,15.296,0.572,15.114,0.1480045227,85.11176001
366,-8,3119,-20,109,50,70,0.222,15.288,0.206,15.106,-0.7939333347,85.09200047
183,-8,3095,-24,109,50,70,0.039,15.28,0.023,15.098,-1.176884803,85.07784097
365,-21,3083,-12,107,47,66,-0.326,15.259,-0.342,15.077,-0.9059864641,81.07224806
365,-24,3075,-8,107,46,67,-0.691,15.235,-0.707,15.053,-1.074996075,82.05085601
365,-30,3059,-16,105,44,63,-1.056,15.205,-1.072,15.023,-1.775969963,78.01493617
729,-74,3039,-20,105,44,63,-1.785,15.131,-1.801,14.949,-2.680941335,77.93640042
181,-23,3011,-28,106,39,139,-1.966,15.108,-1.982,14.926,-3.073857318,153.8715156
181,-28,2987,-24,102,36,136,-2.147,15.08,-2.163,14.898,-3.026917058,150.8588339
361,-63,2967,-20,102,36,136,-2.508,15.017,-2.524,14.835,-3.243952001,150.8078009
359,-69,2952,-15,93,33,33,-2.867,14.948,-2.883,14.766,-3.377981438,47.76228757
358,-77,2928,-24,93,30,29,-3.225,14.871,-3.241,14.689,-3.960930882,43.6806484
356,-86,2904,-24,93,30,29,-3.581,14.785,-3.597,14.603,-4.316930882,43.5946484
176,-48,2872,-32,92,26,26,-3.757,14.737,-3.773,14.555,-4.604858013,40.54168914
175,-53,2844,-28,90,23,22,-3.932,14.684,-3.948,14.502,-4.591915854,36.49337656
521,-173,2820,-24,90,23,22,-4.453,14.511,-4.469,14.329,-5.02094701,36.3226643
344,-125,2792,-28,89,19,18,-4.797,14.386,-4.813,14.204,-5.344930488,32.19694446
340,-134,2764,-28,85,17,15,-5.137,14.252,-5.153,14.07,-5.628937805,29.06412038
336,-144,2736,-28,85,17,15,-5.473,14.108,-5.489,13.926,-5.964937805,28.92012038
499,-230,2709,-27,85,15,12,-5.972,13.878,-5.988,13.696,-6.392950794,25.69162627
320,-177,2637,-72,82,123,8,-6.292,13.701,-6.308,13.519,-15.1563504,21.49827296
278,-238,2434,-203,80,9,5,-6.57,13.463,-6.586,13.281,-8.400477689,18.1783308
95,-156,2119,-315,80,9,5,-6.665,13.307,-6.681,13.125,-9.469348241,17.87898189
44,-177,1816,-303,78,0,4,-6.709,13.13,-6.725,12.948,-6.725,16.76578252
0,-183,1565,-251,77,76,114,-6.709,12.947,-6.725,12.765,-25.60132883,123.1927568
-35,-179,1374,-191,77,76,114,-6.674,12.768,-6.69,12.586,-21.11790115,124.5128969
-58,-173,1246,-128,107,74,74,-6.616,12.595,-6.632,12.413,-16.07815631,85.80761922
-76,-166,1139,-107,76,73,72,-6.54,12.429,-6.556,12.247,-14.35210384,83.83522909
