1641214,Straight
1641228,Left
1641242,Right
1641277,-0.010830324909747292
1642800,-0.02277777777777778
1642962,-0.022426095820591234
1646523,-0.01955458989679522
1646609,-0.019967908718131575
1648367,-0.020225329170625764
1648423,Straight
1648430,Left
1648536,-0.020302547770700636
1648755,Straight
1648762,Left
1648933,Straight
1648940,Left
1648947,-0.019000880835535423
1648968,Straight
1648975,Left
1648982,Right
1649031,-0.018926659195616983
1649985,-0.017139677239844185
1650081,-0.017178724810042945
1650185,-0.016875340228633642
