1641000,173
1641192,174
1641277,170
1641361,167
1641452,165
1641529,160
1641775,159
1641861,155
1641952,153
1642047,149
1642139,147
1642378,143
1642469,141
1642553,139
1642637,136
1642730,132
1642793,4
1642800,132
1642962,129
1643046,127
1643144,123
1643221,121
1643305,118
1643543,115
1643627,113
1643720,110
1643805,107
1643889,105
1644127,102
1644218,99
1644302,96
1644386,93
1644470,90
1644554,88
1644786,85
1644870,83
1644961,80
1645046,77
1645130,74
1645361,71
1645452,68
1645536,65
1645625,63
1645858,62
1645949,59
1646033,56
1646124,54
1646208,51
1646523,65
1646609,61
1646700,59
1646791,0
1647022,37
1647106,0
1647199,31
1647286,27
1647610,24
1647701,0
1647785,21
1647876,15
1647960,0
1648367,24
1648536,20
1648769,19
1648947,22
1649031,21
1649115,20
1649347,18
1649985,19
1650081,17
1650185,18
